epoch,tag,loss_name,voxel_size,focal_gamma,dice_smooth,mIoU_native,macroF1_native,mIoU_common,macroF1_common,wires_IoU_common,wires_recall_common,wires_precision_common,poles_IoU_common,poles_recall_common,poles_precision_common
55,DALES_test,focal,0.15,2.0,1.0,0.01063550729304552,0.02086823806166649,0.010841994546353817,0.021257279440760612,0.012609206140041351,0.30393508076667786,0.012984153814613819,0.0008491940097883344,0.001293404377065599,0.002466493984684348
60,ECLAIR_val,focal,0.15,2.0,1.0,0.6060678362846375,0.7020728588104248,0.7005688548088074,0.7803847193717957,0.9755076766014099,0.9847056269645691,0.9905155301094055,0.6464943289756775,0.8255685567855835,0.7487733960151672
60,DALES_test,focal,0.15,2.0,1.0,0.011061405763030052,0.021699953824281693,0.011312148533761501,0.022182803601026535,0.014448924921452999,0.29166126251220703,0.014974393881857395,0.0008940781699493527,0.0015049162320792675,0.0021978907752782106
65,ECLAIR_val,focal,0.15,2.0,1.0,0.6022092700004578,0.7010544538497925,0.708326518535614,0.7901687622070312,0.9762364029884338,0.9827638268470764,0.9932424426078796,0.6539946794509888,0.8413556814193726,0.7459867000579834
65,DALES_test,focal,0.15,2.0,1.0,0.011289374902844429,0.022146420553326607,0.011547660455107689,0.022631000727415085,0.016966188326478004,0.28615060448646545,0.017716016620397568,0.0006640406791120768,0.0009344893624074757,0.002289226744323969
70,ECLAIR_val,focal,0.15,2.0,1.0,0.6020299792289734,0.6955962777137756,0.6877833008766174,0.7661784291267395,0.9743553996086121,0.981182336807251,0.9929096698760986,0.6236779093742371,0.807242214679718,0.7328121662139893
70,DALES_test,focal,0.15,2.0,1.0,0.010652522556483746,0.020908474922180176,0.010685993358492851,0.020959874615073204,0.013326783664524555,0.28777918219566345,0.013781323097646236,0.0008425343548879027,0.0013135260669514537,0.00234419503249228
75,ECLAIR_val,focal,0.15,2.0,1.0,0.5900967717170715,0.6898068785667419,0.6917116045951843,0.7740444540977478,0.9747084379196167,0.9821231961250305,0.9923139214515686,0.5951682925224304,0.7397880554199219,0.7527521848678589
75,DALES_test,focal,0.15,2.0,1.0,0.010569391772150993,0.020750466734170914,0.01072111539542675,0.02103239856660366,0.012840639799833298,0.3187600076198578,0.013202961534261703,0.0008357762708328664,0.0012980838073417544,0.002341228537261486
80,ECLAIR_val,focal,0.15,2.0,1.0,0.5864771008491516,0.6844642162322998,0.6858860850334167,0.7648617029190063,0.9735432863235474,0.9790002703666687,0.9943071007728577,0.6125689744949341,0.7963126301765442,0.726384699344635
80,DALES_test,focal,0.15,2.0,1.0,0.01070395763963461,0.021011393517255783,0.010785410180687904,0.02115153893828392,0.013904239051043987,0.29261621832847595,0.014387854374945164,0.0006406088941730559,0.0009153035352937877,0.0021300113294273615
