epoch,tag,loss_name,voxel_size,focal_gamma,dice_smooth,mIoU_native,macroF1_native,mIoU_common,macroF1_common,wires_IoU_common,wires_recall_common,wires_precision_common,poles_IoU_common,poles_recall_common,poles_precision_common
5,ECLAIR_val,focal_dice,0.15,2.0,1.0,0.6151679754257202,0.68586266040802,0.6977847814559937,0.7536944150924683,0.7841545343399048,0.7850179076194763,0.9985994100570679,0.039088305085897446,0.039191875606775284,0.936675488948822
5,DALES_test,focal_dice,0.15,2.0,1.0,0.008286555297672749,0.016060879454016685,0.01207335852086544,0.02341865375638008,0.0,0.0,nan,1.056125620380044e-05,1.1230717973376159e-05,0.00017714138084556907
10,ECLAIR_val,focal_dice,0.15,2.0,1.0,0.6472969055175781,0.7366451621055603,0.6898000836372375,0.765559196472168,0.9697393178939819,0.9725542068481445,0.9970242381095886,0.5880442261695862,0.6396555304527283,0.8793443441390991
10,DALES_test,focal_dice,0.15,2.0,1.0,0.011058958247303963,0.021488895639777184,0.011931776069104671,0.023148681968450546,0.04132850095629692,0.09422747790813446,0.06856941431760788,6.793095235479996e-05,8.282654744107276e-05,0.00037758550024591386
15,ECLAIR_val,focal_dice,0.15,2.0,1.0,0.6438619494438171,0.7279057502746582,0.702528178691864,0.7755128741264343,0.9609233736991882,0.987508237361908,0.9727475047111511,0.4695514440536499,0.4911680221557617,0.9143033027648926
15,DALES_test,focal_dice,0.15,2.0,1.0,0.008205529302358627,0.016086110845208168,0.008897361345589161,0.017426321282982826,0.005564297549426556,0.24000941216945648,0.0056640952825546265,0.0017335967859253287,0.00332616432569921,0.0036076493561267853
20,ECLAIR_val,focal_dice,0.15,2.0,1.0,0.603998601436615,0.6762512922286987,0.655152440071106,0.7202172875404358,0.9705084562301636,0.9743358492851257,0.995968759059906,0.7068368196487427,0.7886950969696045,0.8719638586044312
20,DALES_test,focal_dice,0.15,2.0,1.0,0.012947089970111847,0.025024499744176865,0.014039852656424046,0.02709958143532276,0.0028547898400574923,0.1565272957086563,0.002899392507970333,0.00150349922478199,0.0022166629787534475,0.004651455208659172
25,ECLAIR_val,focal_dice,0.15,2.0,1.0,0.6184777617454529,0.6949962973594666,0.6649124026298523,0.737044632434845,0.9602906703948975,0.9629051089286804,0.9971805214881897,0.6754690408706665,0.8387061357498169,0.7763131260871887
25,DALES_test,focal_dice,0.15,2.0,1.0,0.015352042391896248,0.02945886179804802,0.01650136522948742,0.03161892667412758,0.004996213596314192,0.1912359893321991,0.005104060750454664,0.0009884601458907127,0.002098272554576397,0.0018653511069715023
30,ECLAIR_val,focal_dice,0.15,2.0,1.0,0.6272096633911133,0.7073211669921875,0.6711342930793762,0.7465934753417969,0.9779316186904907,0.9811422824859619,0.9966650009155273,0.6620660424232483,0.8632148504257202,0.739665150642395
30,DALES_test,focal_dice,0.15,2.0,1.0,0.012699000537395477,0.02457164227962494,0.013537884689867496,0.02614426612854004,0.006781039293855429,0.19574567675590515,0.006975380703806877,0.0008821985684335232,0.0022672011982649565,0.0014420457882806659
35,ECLAIR_val,focal_dice,0.15,2.0,1.0,0.6205229163169861,0.6989423632621765,0.6540085077285767,0.7279490828514099,0.9788784384727478,0.9843652844429016,0.9943379163742065,0.6884246468544006,0.8476485013961792,0.7856338620185852
35,DALES_test,focal_dice,0.15,2.0,1.0,0.01800387166440487,0.03422766551375389,0.01939992606639862,0.03680625185370445,0.008333622477948666,0.1849002242088318,0.008651454001665115,0.0018544102786108851,0.004644837696105242,0.003077280707657337
40,ECLAIR_val,focal_dice,0.15,2.0,1.0,0.6283445954322815,0.70485520362854,0.6618251800537109,0.7328710556030273,0.9801488518714905,0.9834844470024109,0.9965515732765198,0.6852250099182129,0.8791123628616333,0.7565076947212219
40,DALES_test,focal_dice,0.15,2.0,1.0,0.014103306457400322,0.02729966677725315,0.014786147512495518,0.028566094115376472,0.005716637708246708,0.21426059305667877,0.00583904841914773,0.004531032405793667,0.014761843718588352,0.006495276466012001
45,ECLAIR_val,focal_dice,0.15,2.0,1.0,0.6211349964141846,0.6973595023155212,0.6590120196342468,0.7265200018882751,0.9792887568473816,0.9834644794464111,0.9956830143928528,0.6941218376159668,0.8578052520751953,0.7843731045722961
45,DALES_test,focal_dice,0.15,2.0,1.0,0.01984570175409317,0.03704238682985306,0.02190842665731907,0.040805988013744354,0.007432199083268642,0.20752175152301788,0.007649300619959831,0.0021282886154949665,0.003742168890312314,0.004910714458674192
50,ECLAIR_val,focal_dice,0.15,2.0,1.0,0.6319741010665894,0.7088723182678223,0.6689265370368958,0.7409206032752991,0.9767432808876038,0.9786399006843567,0.9980196952819824,0.681779146194458,0.8765732049942017,0.7541793584823608
50,DALES_test,focal_dice,0.15,2.0,1.0,0.020939169451594353,0.03849431127309799,0.02324000932276249,0.04262902960181236,0.0031378457788378,0.24603135883808136,0.00316831236705184,0.0009799173567444086,0.0016682295827195048,0.0023693516850471497
55,ECLAIR_val,focal_dice,0.15,2.0,1.0,0.6449398398399353,0.7232539653778076,0.6823834776878357,0.753932535648346,0.9799305200576782,0.9823433756828308,0.9974997043609619,0.6843993067741394,0.884853184223175,0.7513123154640198
55,DALES_test,focal_dice,0.15,2.0,1.0,0.017457028850913048,0.03267120569944382,0.01924876868724823,0.03594553843140602,0.004149851389229298,0.2632179856300354,0.004198622424155474,0.0008216339629143476,0.001323352917097509,0.0021624863147735596
60,ECLAIR_val,focal_dice,0.15,2.0,1.0,0.6281715035438538,0.7069709300994873,0.6652281880378723,0.7368350625038147,0.9765477180480957,0.9811222553253174,0.9952481389045715,0.6719648241996765,0.8774563670158386,0.7415562868118286
60,DALES_test,focal_dice,0.15,2.0,1.0,0.01509343832731247,0.02891598828136921,0.01632232777774334,0.031222060322761536,0.0024951891973614693,0.251725971698761,0.002513834973797202,0.0017133037326857448,0.003636881010606885,0.0032288606744259596
65,ECLAIR_val,focal_dice,0.15,2.0,1.0,0.64073646068573,0.7223355770111084,0.6823713183403015,0.7569994330406189,0.978270411491394,0.9832642674446106,0.9948351383209229,0.680550754070282,0.8730403780937195,0.7553008794784546
65,DALES_test,focal_dice,0.15,2.0,1.0,0.021029498428106308,0.038678646087646484,0.023207928985357285,0.04257315397262573,0.0029670526273548603,0.24188686907291412,0.0029949031304568052,0.0008935789810493588,0.0013949488056823611,0.002480016788467765
70,ECLAIR_val,focal_dice,0.15,2.0,1.0,0.6212343573570251,0.6955648064613342,0.6553707718849182,0.720311164855957,0.9765265583992004,0.9818829894065857,0.9944446682929993,0.6822929978370667,0.8724883794784546,0.757863461971283
70,DALES_test,focal_dice,0.15,2.0,1.0,0.016673605889081955,0.031609002500772476,0.018082331866025925,0.034203652292490005,0.0027433305513113737,0.23958468437194824,0.0027674266602844,0.0013677102979272604,0.002631731564179063,0.002839529188349843
75,ECLAIR_val,focal_dice,0.15,2.0,1.0,0.6218617558479309,0.696902871131897,0.6547051072120667,0.7190607786178589,0.9755734205245972,0.9826236367225647,0.9926990866661072,0.6829883456230164,0.8669684529304504,0.7629457116127014
75,DALES_test,focal_dice,0.15,2.0,1.0,0.014563200995326042,0.02794453501701355,0.015615376643836498,0.02990729920566082,0.002303995192050934,0.22983486950397491,0.00232192175462842,0.0016839115414768457,0.0033018311951309443,0.0034247373696416616
80,ECLAIR_val,focal_dice,0.15,2.0,1.0,0.6663891077041626,0.7422167658805847,0.7424380779266357,0.8044595122337341,0.9758032560348511,0.9825035333633423,0.9930597543716431,0.6761249899864197,0.8575844764709473,0.7616432905197144
80,DALES_test,focal_dice,0.15,2.0,1.0,0.014881168492138386,0.028580734506249428,0.01583206281065941,0.030352430418133736,0.0022454506251960993,0.2192842960357666,0.0022635464556515217,0.0022136529441922903,0.004708010703325272,0.004160806071013212
